0.97,1.07,1.07,0.97
1.02,1.02,1.02,1.02
0.98,0.98,0.98,0.98
0.94,0.94,0.94,0.94
0.98,0.98,0.98,0.98
1.03,1.03,1.03,1.03
1.08,1.08,1.08,1.08
1.13,1.13,1.13,1.13
1.18,1.18,1.18,1.18
1.24,1.36,1.36,1.24
1.3,1.3,1.3,1.3
1.24,1.24,1.24,1.24
1.19,1.19,1.19,1.19
1.25,1.25,1.25,1.25
1.22,1.22,1.22,1.22
1.17,1.17,1.17,1.17
1.12,1.12,1.12,1.12
1.07,1.07,1.07,1.07
1.12,1.22,1.22,1.12
1.17,1.17,1.17,1.17
1.12,1.12,1.12,1.12
1.17,1.17,1.17,1.17
1.12,1.12,1.12,1.12
1.17,1.17,1.17,1.17
1.23,1.23,1.23,1.23
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.13,1.13,1.13,1.13
1.08,1.08,1.08,1.08
1.13,1.13,1.13,1.13
1.08,0.98,1.08,0.98
1.03,1.03,1.03,1.03
0.99,0.99,0.99,0.99
0.95,1.03,1.03,0.95
0.99,0.99,0.99,0.99
0.95,0.91,0.95,0.91
0.91,0.91,0.91,0.91
0.87,0.95,0.95,0.87
0.91,0.89,0.91,0.89
0.87,0.87,0.87,0.87
0.84,0.84,0.9,0.84
0.88,0.88,0.88,0.88
0.87,0.87,0.87,0.87
0.85,0.85,0.85,0.85
0.82,0.82,0.82,0.82
0.79,0.79,0.79,0.79
0.76,0.76,0.76,0.76
0.73,0.73,0.73,0.73
0.7,0.7,0.7,0.7
0.72,0.72,0.72,0.72
0.69,0.69,0.69,0.69
0.66,0.66,0.66,0.66
0.63,0.63,0.63,0.63
0.6,0.58,0.6,0.58
0.58,0.58,0.58,0.58
0.56,0.56,0.56,0.56
0.54,0.54,0.54,0.54
0.52,0.52,0.52,0.52
0.5,0.5,0.5,0.5
0.52,0.52,0.52,0.52
0.52,0.53,0.53,0.52
0.54,0.54,0.54,0.54
0.52,0.52,0.52,0.52
0.5,0.5,0.5,0.5
0.51,0.51,0.51,0.51
0.53,0.5,0.53,0.5
0.52,0.56,0.56,0.52
0.54,0.54,0.54,0.54
0.52,0.53,0.53,0.52
0.51,0.51,0.51,0.51
0.5,0.5,0.5,0.5
0.48,0.48,0.48,0.48
0.46,0.46,0.46,0.46
0.44,0.46,0.46,0.44
0.44,0.44,0.44,0.44
0.42,0.42,0.42,0.42
0.4,0.4,0.4,0.4
0.39,0.39,0.39,0.39
0.38,0.38,0.38,0.38
0.37,0.37,0.37,0.37
0.36,0.36,0.36,0.36
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.38,0.4,0.4,0.38
0.39,0.39,0.39,0.39
0.41,0.42,0.42,0.41
0.43,0.43,0.43,0.43
0.45,0.45,0.45,0.45
0.47,0.5,0.5,0.47
0.49,0.45,0.49,0.45
0.47,0.47,0.47,0.47
0.49,0.49,0.49,0.49
0.51,0.51,0.51,0.51
0.53,0.54,0.54,0.53
0.55,0.55,0.55,0.55
0.57,0.57,0.57,0.57
0.55,0.55,0.55,0.55
0.57,0.57,0.57,0.57
0.55,0.55,0.55,0.55
0.57,0.57,0.57,0.57
0.6,0.6,0.6,0.6
0.63,0.63,0.63,0.63
0.66,0.66,0.66,0.66
0.69,0.69,0.69,0.69
0.72,0.75,0.75,0.72
0.75,0.75,0.75,0.75
0.78,0.78,0.78,0.78
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.86,0.86,0.86,0.86
0.9,0.9,0.9,0.9
0.94,0.94,0.94,0.94
0.9,0.9,0.9,0.9
0.86,0.86,0.86,0.86
0.82,0.82,0.82,0.82
0.79,0.79,0.79,0.79
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.7,0.7,0.7,0.7
0.67,0.7,0.7,0.67
0.7,0.7,0.7,0.7
0.67,0.67,0.67,0.67
0.64,0.64,0.64,0.64
0.67,0.67,0.67,0.67
0.64,0.62,0.64,0.62
0.61,0.61,0.62,0.61
0.64,0.64,0.64,0.64
0.67,0.67,0.67,0.67
0.7,0.7,0.7,0.7
0.72,0.72,0.72,0.72
0.75,0.75,0.75,0.75
0.76,0.76,0.76,0.76
0.73,0.73,0.73,0.73
0.76,0.76,0.76,0.76
0.79,0.79,0.79,0.79
0.83,0.83,0.83,0.83
0.87,0.87,0.87,0.87
0.91,0.91,0.91,0.91
0.95,0.95,0.95,0.95
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
1.04,1.04,1.04,1.04
1.09,1.09,1.09,1.09
1.14,1.14,1.14,1.14
1.19,1.19,1.19,1.19
1.21,1.21,1.21,1.21
1.23,1.23,1.23,1.23
1.25,1.25,1.25,1.25
1.27,1.27,1.27,1.27
1.29,1.33,1.33,1.29
1.31,1.31,1.31,1.31
1.33,1.35,1.35,1.33
1.35,1.38,1.38,1.35
1.36,1.36,1.36,1.36
1.34,1.34,1.34,1.32
1.28,1.28,1.28,1.16
1.22,1.12,1.22,1.12
1.17,1.19,1.19,1.14
1.15,1.15,1.15,1.15
1.1,1.1,1.1,1.1
1.05,1.05,1.05,1.05
1,1,1,1
0.96,0.96,0.96,0.96
0.92,0.92,0.92,0.92
0.88,0.8,0.88,0.8
0.84,0.84,0.84,0.84
0.8,0.8,0.8,0.8
0.77,0.77,0.77,0.77
0.74,0.74,0.74,0.74
0.71,0.71,0.71,0.71
0.68,0.68,0.68,0.68
0.65,0.65,0.65,0.65
